Date,Open,High,Low,Close,Volume,N. Trades
2017-12-26 23:00:00,15661.55000000,15765.01000000,15540.01000000,15689.01000000,2996209.37484542,3452
2017-12-27 00:00:00,15709.98000000,15800.00000000,15559.54000000,15734.00000000,3788695.69373712,3228
2017-12-27 01:00:00,15734.00000000,16015.28000000,15733.07000000,15891.10000000,4492877.96892803,3943
2017-12-27 02:00:00,15892.00000000,15950.00000000,15679.01000000,15808.23000000,7013524.81143913,4387
2017-12-27 03:00:00,15809.97000000,15891.37000000,15740.01000000,15880.56000000,6534200.08562709,3219
2017-12-27 04:00:00,15855.71000000,16480.00000000,15855.61000000,16398.90000000,11512381.66148755,7181
2017-12-27 05:00:00,16398.89000000,16449.72000000,16166.00000000,16351.02000000,6783977.92172720,4848
2017-12-27 06:00:00,16351.02000000,16498.05000000,16325.98000000,16370.00000000,8376941.34909948,5061
2017-12-27 07:00:00,16370.00000000,16400.00000000,15863.00000000,16055.00000000,11735282.56351859,8195
2017-12-27 08:00:00,16073.69000000,16200.00000000,15984.29000000,16025.73000000,7313364.10203946,4599
2017-12-27 09:00:00,16025.73000000,16080.00000000,15700.00000000,15764.02000000,11477466.39957474,5926
2017-12-27 10:00:00,15733.31000000,15850.00000000,15250.59000000,15490.07000000,11518314.59249462,7236
2017-12-27 11:00:00,15458.00000000,15649.99000000,15300.00000000,15570.13000000,8140077.48150798,5117
2017-12-27 12:00:00,15570.11000000,15978.00000000,15570.00000000,15894.83000000,11583241.91261516,5285
2017-12-27 13:00:00,15867.80000000,15894.73000000,15506.50000000,15780.23000000,8432380.75268259,4560
2017-12-27 14:00:00,15780.28000000,15840.00000000,15103.01000000,15256.11000000,12816571.49575415,7201
2017-12-27 15:00:00,15260.00000000,15328.78000000,14876.00000000,15155.01000000,13699283.46588432,9571
2017-12-27 16:00:00,15162.25000000,15310.00000000,14425.00000000,14571.00000000,15922476.45081710,9840
2017-12-27 17:00:00,14558.63000000,14807.18000000,14200.15000000,14701.00000000,17003525.28569798,9539
2017-12-27 18:00:00,14680.02000000,15200.00000000,14680.00000000,15049.07000000,10121911.77772836,6323
2017-12-27 19:00:00,15049.05000000,15289.76000000,14666.00000000,14793.25000000,10374098.80275034,6640
2017-12-27 20:00:00,14793.28000000,14985.91000000,14557.25000000,14771.92000000,8798966.11455508,5556
2017-12-27 21:00:00,14771.89000000,15250.00000000,14688.00000000,15184.10000000,8128424.62146033,5139
2017-12-27 22:00:00,15162.66000000,15563.63000000,15083.99000000,15315.00000000,8853042.47918314,5395
2017-12-27 23:00:00,15332.44000000,15520.00000000,15101.00000000,15459.99000000,6808904.69173103,4213
2017-12-28 00:00:00,15459.97000000,15539.99000000,15010.00000000,15179.04000000,8218058.86831374,4665
2017-12-28 01:00:00,15179.05000000,15434.99000000,15125.82000000,15400.00000000,6786476.75517310,4010
2017-12-28 02:00:00,15397.91000000,15453.66000000,13417.99000000,13822.13000000,31032776.79801556,15581
2017-12-28 03:00:00,13822.13000000,14555.63000000,13600.00000000,14163.42000000,31619554.47071179,16665
2017-12-28 04:00:00,14163.43000000,14557.10000000,13866.01000000,14274.58000000,14204387.20640526,8731
2017-12-28 05:00:00,14264.78000000,14366.07000000,13501.05000000,13580.00000000,15933926.98305240,9627
2017-12-28 06:00:00,13580.00000000,13966.00000000,13511.14000000,13656.98000000,13108935.21880406,7896
2017-12-28 07:00:00,13656.98000000,14100.00000000,13656.98000000,13984.39000000,12143589.71018280,5638
2017-12-28 08:00:00,13984.38000000,14170.00000000,13752.00000000,14054.99000000,10768222.47966626,5537
2017-12-28 09:00:00,14055.00000000,14348.22000000,14000.00000000,14125.08000000,8135779.98967237,5293
2017-12-28 10:00:00,14099.33000000,14211.06000000,13188.11000000,13242.71000000,15306786.01562514,9344
2017-12-28 11:00:00,13235.71000000,13600.30000000,13150.00000000,13578.98000000,17558210.28091754,9224
2017-12-28 12:00:00,13578.98000000,13877.94000000,13335.37000000,13801.19000000,12052023.25085631,6724
2017-12-28 13:00:00,13803.97000000,14030.00000000,13730.00000000,13877.69000000,9510264.66621968,5625
2017-12-28 14:00:00,13875.01000000,14153.37000000,13560.09000000,14089.00000000,10652540.31681981,6450
2017-12-28 15:00:00,14089.00000000,14305.00000000,14000.00000000,14040.00000000,10862838.39977348,6503
2017-12-28 16:00:00,14045.94000000,14126.77000000,13716.48000000,13799.97000000,8787472.82420083,5737
2017-12-28 17:00:00,13799.97000000,14068.59000000,13512.00000000,14015.97000000,11903716.67142841,7898
2017-12-28 18:00:00,14013.15000000,14034.81000000,13190.00000000,13299.94000000,17248739.62429285,11252
2017-12-28 19:00:00,13299.94000000,14000.00000000,13266.14000000,13736.43000000,7264499.22345883,5853
2017-12-28 20:00:00,13736.44000000,14100.00000000,13695.80000000,13742.94000000,9117611.06680306,5778
2017-12-28 21:00:00,13724.04000000,13883.87000000,13600.00000000,13794.94000000,7079932.98377198,4799
2017-12-28 22:00:00,13798.74000000,14038.12000000,13750.00000000,13837.90000000,7861876.79739889,4894
2017-12-28 23:00:00,13837.89000000,14221.99000000,13805.05000000,14182.11000000,6243007.38495587,4308
2017-12-29 00:00:00,14199.14000000,14399.00000000,14053.03000000,14199.99000000,8475574.61332034,5138
2017-12-29 01:00:00,14189.34000000,14216.98000000,14008.00000000,14200.00000000,6219957.13325340,4389
