,t,v
830,1509926400,174732
831,1510012800,175979
832,1510099200,189926
833,1510185600,190626
834,1510272000,188493
835,1510358400,160347
836,1510444800,183910
837,1510531200,181225
838,1510617600,199988
839,1510704000,223244
840,1510790400,202645
841,1510876800,212944
842,1510963200,183780
843,1511049600,189524
844,1511136000,219476
845,1511222400,218139
846,1511308800,220795
847,1511395200,225891
848,1511481600,218081
849,1511568000,216984
850,1511654400,220373
851,1511740800,260656
852,1511827200,278303
853,1511913600,299281
854,1512000000,285565
855,1512086400,268631
856,1512172800,271028
857,1512259200,293629
858,1512345600,276215
859,1512432000,289577
860,1512518400,380313
861,1512604800,290036
862,1512691200,330413
863,1512777600,311016
864,1512864000,312247
865,1512950400,380294
866,1513036800,410522
867,1513123200,435675
868,1513209600,461722
869,1513296000,425951
870,1513382400,401509
871,1513468800,399637
872,1513555200,468630
873,1513641600,501139
874,1513728000,491617
875,1513814400,535598
876,1513900800,565433
877,1513987200,449595
878,1514073600,345239
879,1514160000,358548
880,1514246400,395997
881,1514332800,424109
882,1514419200,451719
883,1514505600,543083
884,1514592000,581059
885,1514678400,439879
886,1514764800,451998
887,1514851200,586797
888,1514937600,629392
889,1515024000,702940
890,1515110400,690235
891,1515196800,657053
892,1515283200,596175
893,1515369600,643389
894,1515456000,699229
895,1515542400,642920
896,1515628800,646356
897,1515715200,590107
898,1515801600,628030
899,1515888000,573315
900,1515974400,689905
901,1516060800,714225
902,1516147200,700017
903,1516233600,666438
904,1516320000,527087
905,1516406400,447804
906,1516492800,581373
907,1516579200,494049
908,1516665600,455973
909,1516752000,436862
910,1516838400,356979
911,1516924800,462472
912,1517011200,400533
913,1517097600,418541
914,1517184000,446137
915,1517270400,432135
916,1517356800,434297
917,1517443200,483961
918,1517529600,477848
919,1517616000,386100
920,1517702400,390788
921,1517788800,420605
922,1517875200,425657
923,1517961600,390899
924,1518048000,318872
925,1518134400,369110
926,1518220800,389413
927,1518307200,346086
928,1518393600,394940
929,1518480000,336310
930,1518566400,355600
931,1518652800,367990
932,1518739200,311007
933,1518825600,316744
934,1518912000,312835
935,1518998400,354249
936,1519084800,375920
937,1519171200,348747
938,1519257600,327243
939,1519344000,313928
940,1519430400,280631
941,1519516800,280732
942,1519603200,349032
943,1519689600,331637
944,1519776000,356756
945,1519862400,325983
946,1519948800,334720
947,1520035200,292902
948,1520121600,272420
949,1520208000,341039
950,1520294400,344292
951,1520380800,446567
952,1520467200,328651
953,1520553600,316142
954,1520640000,294827
955,1520726400,269455
956,1520812800,310872
957,1520899200,318086
958,1520985600,340814
959,1521072000,317769
960,1521158400,299714
961,1521244800,271646
962,1521331200,308344
963,1521417600,346002
964,1521504000,309062
965,1521590400,321548
966,1521676800,304806
967,1521763200,360771
968,1521849600,323054
969,1521936000,239379
970,1522022400,298471
971,1522108800,276378
972,1522195200,263701
973,1522281600,284767
974,1522368000,302697
975,1522454400,258005
976,1522540800,241667
977,1522627200,272345
978,1522713600,295636
979,1522800000,277388
980,1522886400,321740
981,1522972800,296087
982,1523059200,256927
983,1523145600,276349
984,1523232000,299876
985,1523318400,273718
986,1523404800,282619
987,1523491200,319473
988,1523577600,324122
989,1523664000,274467
990,1523750400,280462
991,1523836800,298025
992,1523923200,318108
993,1524009600,303442
994,1524096000,336554
995,1524182400,353036
996,1524268800,362104
997,1524355200,375269
998,1524441600,398853
999,1524528000,397119
1000,1524614400,352729
1001,1524700800,347314
1002,1524787200,329409
1003,1524873600,334905
1004,1524960000,309662
1005,1525046400,349845
1006,1525132800,316590
1007,1525219200,352782
1008,1525305600,384820
1009,1525392000,636842
1010,1525478400,386029
1011,1525564800,365220
1012,1525651200,387600
1013,1525737600,392906
1014,1525824000,380628
1015,1525910400,377753
1016,1525996800,378266
1017,1526083200,362743
1018,1526169600,347440
1019,1526256000,384986
1020,1526342400,390493
1021,1526428800,401754
1022,1526515200,402182
1023,1526601600,402564
1024,1526688000,400723
1025,1526774400,370323
1026,1526860800,385610
1027,1526947200,401508
1028,1527033600,396809
1029,1527120000,407598
1030,1527206400,382613
1031,1527292800,364419
1032,1527379200,386427
1033,1527465600,434911
1034,1527552000,398413
1035,1527638400,400827
1036,1527724800,407822
1037,1527811200,363396
1038,1527897600,390600
1039,1527984000,401453
1040,1528070400,382946
1041,1528156800,369706
1042,1528243200,364224
1043,1528329600,390856
1044,1528416000,353661
1045,1528502400,377206
1046,1528588800,375340
1047,1528675200,379350
1048,1528761600,333131
1049,1528848000,355800
1050,1528934400,359735
1051,1529020800,374176
1052,1529107200,296327
1053,1529193600,312235
1054,1529280000,327097
1055,1529366400,360185
1056,1529452800,372228
1057,1529539200,366233
1058,1529625600,372048
1059,1529712000,325471
1060,1529798400,337647
1061,1529884800,476642
1062,1529971200,363353
1063,1530057600,373569
1064,1530144000,384881
1065,1530230400,364242
1066,1530316800,247996
1067,1530403200,193411
1068,1530489600,232096
1069,1530576000,227933
1070,1530662400,225808
1071,1530748800,247255
1072,1530835200,215491
1073,1530921600,212632
1074,1531008000,266212
1075,1531094400,282604
1076,1531180800,284996
1077,1531267200,263993
1078,1531353600,247943
1079,1531440000,231582
1080,1531526400,225112
1081,1531612800,223361
1082,1531699200,324533
1083,1531785600,334043
1084,1531872000,385497
1085,1531958400,353380
1086,1532044800,325993
1087,1532131200,277942
1088,1532217600,319803
1089,1532304000,382842
1090,1532390400,405268
1091,1532476800,406421
1092,1532563200,366091
1093,1532649600,393551
1094,1532736000,357777
1095,1532822400,348481
1096,1532908800,365628
1097,1532995200,364774
1098,1533081600,362641
1099,1533168000,361891
1100,1533254400,373515
1101,1533340800,329665
1102,1533427200,307041
1103,1533513600,335825
1104,1533600000,307071
