Time Init,Open,High,Low,Close,Volume,Time Close,QAV,N Trades,RSI,target,,,,
1.55719E+12,5749.92,6028.41,5747.74,5846.34,39905.06442,1.55727E+12,236176663.8,301388,72.496294,1,,,,
1.55727E+12,5846.34,6014.72,5772.2,5987.29,23074.05152,1.55736E+12,136245255.6,190966,75.593485,1,,,,
1.55736E+12,5986.66,6224.55,5983.71,6209.18,27453.01144,1.55745E+12,167489934.3,227841,79.506037,1,,,,
1.55745E+12,6209.95,6468.92,6172,6373.33,36623.61079,1.55753E+12,231801342.4,283074,81.827003,1,,,,
1.55753E+12,6375.16,7343.99,6372.85,7076.22,74022.42439,1.55762E+12,507216001.3,562540,88.06171,1,,,,
1.55762E+12,7076.24,7521.78,6750,6967.31,86948.97534,1.55771E+12,619939454.5,647345,83.293393,0,,,,
1.55771E+12,6968.24,8100,6870,7790.71,85804.73533,1.55779E+12,648012612.3,588497,88.405156,1,,,,
1.55779E+12,7795.62,8366,7599.56,7947.56,76583.7226,1.55788E+12,611103206,655426,89.089961,1,,,,
1.55788E+12,7945.26,8249,7850,8169.87,37884.32721,1.55796E+12,305196285.3,347533,89.992159,1,,,,
1.55796E+12,8169.08,8320,7705,7866.59,69630.514,1.55805E+12,557126171.3,666538,80.243302,0,,,,
1.55805E+12,7868.67,7925,6913,7355.26,88752.00816,1.55814E+12,645676487.4,803893,67.05415,0,,,,
1.55814E+12,7355.28,7458,7156.61,7257.45,37054.94478,1.55822E+12,271170511.1,379504,64.858116,0,,,,
1.55822E+12,7257.32,8275.09,7243.08,8148.48,65577.44206,1.55831E+12,517729474.4,583432,73.403501,1,,,,
1.55831E+12,8147.94,8156.03,7553,7938.15,65859.20856,1.5584E+12,517939277.9,610360,69.130158,0,,,,
1.5584E+12,7937.16,8042.32,7771,7904.87,52301.75225,1.55848E+12,413637782.4,554038,68.451114,0,,,,
1.55848E+12,7904.48,8016,7465,7628.43,49136.99459,1.55857E+12,384730220.7,461337,62.922235,0,,,,
1.55857E+12,7627.8,7940.98,7461,7851.51,49648.1847,1.55866E+12,381536239.5,449220,65.35417,1,,,,
1.55866E+12,7849.95,8130,7766,7964.87,46664.78533,1.55874E+12,371381043.7,428676,66.554658,1,,,,
1.55874E+12,7964.52,8091.8,7908.34,8025.41,28414.32882,1.55883E+12,227376280.6,264448,67.20815,1,,,,
1.55883E+12,8023,8740,7833.42,8614.43,49652.14457,1.55892E+12,409616322.4,377306,72.780698,1,,,,
1.55892E+12,8612.54,8908.32,8589,8756.32,51886.76879,1.559E+12,452651204.9,478773,73.930003,1,,,,
1.559E+12,8752.52,8798.49,8510.63,8715.64,31470.55153,1.55909E+12,273791910.6,349123,72.978593,0,,,,
1.55909E+12,8716.87,8750,8406.6,8645.68,33880.86592,1.55917E+12,292094591,352317,71.279699,0,,,,
1.55917E+12,8646.5,9074.26,8005,8269.54,70379.99852,1.55926E+12,603312537.4,617341,62.813161,0,,,,
1.55926E+12,8267.1,8594,8108.5,8555,44727.49162,1.55935E+12,373629673.9,416525,66.103739,1,,,,
